book_title,author,average_rating,rating_count,review_count,number_of_page,first_publish_year,editions,format,language,ISBN,link
Igcse Computer Science Elevate,"['Sarah Lawrey', 'Donald Scott', 'Richard Morgan']",2.0,1,0,,2015,1,ebook,,ISBN1107518725(ISBN13:9781107518728),https://www.goodreads.com/book/show/23530278-igcse-computer-science-elevate?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1527
A/As Level Computer Science for OCR Student Book,"['Alistair Surrall', 'Adam Hamflett']",0.0,0,0,460,,1,Paperback,,ISBN1108412718(ISBN13:9781108412711),https://www.goodreads.com/book/show/34689680-a-as-level-computer-science-for-ocr-student-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1529
Vidya Quick Revision Computer Science,Vidya Editorial Board,0.0,0,0,,,1,Paperback,,ISBN9351662837(ISBN13:9789351662839),https://www.goodreads.com/book/show/34303525-vidya-quick-revision-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1530
"Applications of Evolutionary Computation: 18th European Conference, EvoApplications 2015, Copenhagen, Denmark, April 8-10, 2015, Proceedings (Lecture Notes ... Computer Science and General Issues)","['Antonio M. Mora', 'Giovanni Squillero']",0.0,0,0,913,2015,1,Kindle Edition,English,,https://www.goodreads.com/book/show/26086319-applications-of-evolutionary-computation?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1531
"e-Study Guide for: Web Application Architecture: Principles, Protocols and Practices: Computer science, Computer science",Cram101 Textbook Reviews,0.0,0,0,185,2014,1,Kindle Edition,English,,https://www.goodreads.com/book/show/25544438-e-study-guide-for?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1532
AP Computer Science A Flash Cards,Roselyn Teukolsky M.S.,0.0,0,0,432,,1,Cards,,ISBN1438078560(ISBN13:9781438078564),https://www.goodreads.com/book/show/38662643-ap-computer-science-a-flash-cards?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1533
Computer Science Theories: Book 2,John Miller,0.0,0,0,930,,1,Kindle Edition,,,https://www.goodreads.com/book/show/40618246-computer-science-theories?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1534
5 Steps to a 5: AP Computer Science a 2019,Dean R. Johnson,0.0,0,0,512,,2,Paperback,,ISBN1260122646(ISBN13:9781260122640),https://www.goodreads.com/book/show/38241881-5-steps-to-a-5?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1535
Breaking Down Problems in Computer Science,Barbara M. Linde,3.0,1,0,32,,5,Hardcover,,ISBN1538331314(ISBN13:9781538331316),https://www.goodreads.com/book/show/39020662-breaking-down-problems-in-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1537
Previous GATE Paper with Answer Keys and Solutions - Computer Science CS/IT,Pravendra Pravendra,1.0,1,0,96,,1,Kindle Edition,,,https://www.goodreads.com/book/show/39073555-previous-gate-paper-with-answer-keys-and-solutions---computer-science-cs?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1539
Computers in Science,Brian Kahn,5.0,1,0,136,1985,1,Paperback,English,ISBN0521278074(ISBN13:9780521278072),https://www.goodreads.com/book/show/4880321-computers-in-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1543
"A Century of Electrical Engineering and Computer Science at Mit, 1882--1982",Karl Wildes,3.0,1,0,448,1985,1,Hardcover,English,ISBN0262231190(ISBN13:9780262231190),https://www.goodreads.com/book/show/2317991.A_Century_of_Electrical_Engineering_and_Computer_Science_at_Mit_1882_1982?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1544
"Compiler Generators: What They Can Do, What They Might Do, and What They Will Probably Never Do (E a T C S Monographs on Theoretical Computer Science)",Mads Tofte,2.0,1,0,146,1990,3,Hardcover,,ISBN0387514716(ISBN13:9780387514710),https://www.goodreads.com/book/show/3095420-compiler-generators?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1545
Discrete Structures: An Introduction to Mathematics for Computer Science,Fletcher R. Norris,0.0,0,0,352,1985,1,Hardcover,English,ISBN0132152606(ISBN13:9780132152600),https://www.goodreads.com/book/show/3062558-discrete-structures?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1546
"Logic at Botik '89: Symposium on Logical Foundations of Computer Science, Pereslavl-Zalessky, USSR, July 3-8, 1989, Proceedings",Albert R. Meyer,0.0,0,0,292,1989,3,Paperback,English,ISBN3540512373(ISBN13:9783540512370),https://www.goodreads.com/book/show/2133090.Logic_at_Botik_89?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1548
Basic Simple Type Theory,J. Roger Hindley,3.9,10,0,200,1997,4,Kindle Edition,English,ISBN0521465184(ISBN13:9780521465182),https://www.goodreads.com/book/show/25155493-basic-simple-type-theory?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1549
Discrete Math Computer Science,"['P. Rajagopal', 'James A. Mason']",0.0,0,0,0,1992,1,Hardcover,English,ISBN0039228533(ISBN13:9780039228538),https://www.goodreads.com/book/show/28791.Discrete_Math_Computer_Science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1552
CMOS Data Converters for Communications (THE KLUWER INTERNATIONAL SERIES IN ENGINEERING AND) (The Springer International Series in Engineering and Computer Science),Mikael Gustavsson,0.0,0,0,400,2000,1,Hardcover,,ISBN079237780X(ISBN13:9780792377801),https://www.goodreads.com/book/show/906367.CMOS_Data_Converters_for_Communications_THE_KLUWER_INTERNATIONAL_SERIES_IN_ENGINEERING_AND_?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1553
Genetic Algorithms And Evolution Strategy In Engineering And Computer Science: Recent Advances And Industrial Applications,"['D. Quagliarella', 'Jacques Périaux']",0.0,0,0,404,1998,2,Hardcover,English,ISBN0471977101(ISBN13:9780471977100),https://www.goodreads.com/book/show/6010160-genetic-algorithms-and-evolution-strategy-in-engineering-and-computer-sc?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1554
Enter - A Complete Course in Computer Science (Based on Win 7 & Office 13) Book 7 (With CD),"['Shivani Jain', 'Shelly Malhotra']",0.0,0,0,,,1,Paperback,,ISBN818389562X(ISBN13:9788183895620),https://www.goodreads.com/book/show/52624860-enter---a-complete-course-in-computer-science-based-on-win-7-office-1?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1555
X-Machines for Agent-Based Modeling (Open Access): FLAME Perspectives (Chapman & Hall/CRC Computer and Information Science Series),Mariam Kiran,0.0,0,0,344,,1,Kindle Edition,,,https://www.goodreads.com/book/show/46196836-x-machines-for-agent-based-modeling-open-access?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1557
Barron's AP Computer Science with CD-ROM,Roselyn Teukolsky,0.0,0,1,736,2007,1,Paperback,English,ISBN0764193503(ISBN13:9780764193507),https://www.goodreads.com/book/show/9884276-barron-s-ap-computer-science-with-cd-rom?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1558
Unsolved Problems in Computer Science & Mathematics,"['Ferdinand Hawthorne', 'Octavia Couture']",0.0,0,0,135,2012,1,ebook,,ISBN1280199482(ISBN13:9781280199486),https://www.goodreads.com/book/show/16757873-unsolved-problems-in-computer-science-mathematics?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1560
Iaeng Transactions on Engineering Technologies: Special Issue of the World Congress on Engineering and Computer Science 2012,"['Haeng Kon Kim', 'Sio-Iong Ao', 'Mahyar A. Amouzegar']",5.0,1,0,732,2013,4,Paperback,,ISBN9400768192(ISBN13:9789400768192),https://www.goodreads.com/book/show/19161274-iaeng-transactions-on-engineering-technologies?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1561
"Object-Based Models and Languages for Concurrent Systems: ECOOP '94 Workshop on Models and Languages for Coordination of Parallelism and Distribution, ... Papers (Lecture Notes in Computer Science)","['Paolo Ciancarini', 'Oscar Nierstrasz', 'Akinori Yonezawa']",2.0,1,0,204,1995,3,Kindle Edition,English,,https://www.goodreads.com/book/show/19550352-object-based-models-and-languages-for-concurrent-systems?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1562
Computer and Information Science/E-Activity,International Association for Computer &,0.0,0,0,1145,,1,Hardcover,English,ISBN0769528414(ISBN13:9780769528410),https://www.goodreads.com/book/show/14873240-computer-and-information-science-e-activity?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1563
International Baccalaureate Computer Science Hl & SL: Byte Size Topics for Revision,H. Sarah Shakibi,0.0,0,0,,,1,Paperback,,ISBN1540873196(ISBN13:9781540873194),https://www.goodreads.com/book/show/33941067-international-baccalaureate-computer-science-hl-sl?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1564
All in One Computer Science CBSE Class 11th,"['Harshit Garg', 'Swati Rana']",5.0,1,0,339,,1,Paperback,,ISBN9351413128(ISBN13:9789351413127),https://www.goodreads.com/book/show/32618782-all-in-one-computer-science-cbse-class-11th?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1565
Wiley Acing the GATE: Computer Science and Information Technology,"['ANIL KUMAR VERMA', 'Kuldeep Singh', 'Gaurav    Sharma']",0.0,0,0,660,,1,Paperback,,ISBN8126550864(ISBN13:9788126550869),https://www.goodreads.com/book/show/29625714-wiley-acing-the-gate?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1566
"Database System Concepts: Computer Science, Information Technology",Cram101 Textbook Reviews,5.0,1,0,179,,2,ebook,,ISBN1490292780(ISBN13:9781490292786),https://www.goodreads.com/book/show/31218460-database-system-concepts?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1567
OCR Computer Science for Gcse Student Book,"['George Rouse', ""Sean O'Byrne""]",3.5,2,0,256,,1,ebook,,ISBN1471866165(ISBN13:9781471866166),https://www.goodreads.com/book/show/31319876-ocr-computer-science-for-gcse-student-book?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1569
Computer Science: Abstraction To Implementation,Robert M. Keller,0.0,0,0,,,1,,,,https://www.goodreads.com/book/show/38769102-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1570
"Computer Vision and Graphics: International Conference, ICCVG 2018, Warsaw, Poland, September 17 - 19, 2018, Proceedings (Lecture Notes in Computer Science Book 11114)","['Leszek J. Chmielewski', 'Ryszard Kozera', 'Arkadiusz Orłowski', 'Konrad Wojciechowski', 'Alfred M. Bruckstein', 'Nicolai Petkov']",5.0,1,0,552,,1,Kindle Edition,,,https://www.goodreads.com/book/show/42942970-computer-vision-and-graphics?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1572
OCR AS/A-level Computer Science Workbook 2: Algorithms and Programming,Sarah Lawrey,3.0,1,0,56,,1,Paperback,,ISBN1510437002(ISBN13:9781510437005),https://www.goodreads.com/book/show/42248790-ocr-as-a-level-computer-science-workbook-2?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1573
GATE 2020 Computer Science & Information Technology Guide with 10 Practice Sets (6 in Book + 4 Online) 7th edition,Disha Experts,0.0,0,0,,,1,kindle_edition,,ISBN139789388919630,https://www.goodreads.com/book/show/53430118-gate-2020-computer-science-information-technology-guide-with-10-practi?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1574
"Introduction To The Analysis Of Algorithms, An (3rd Edition) (Theoretical Computer Science)",Michael Soltys-Kulinicz,0.0,0,0,328,,1,Hardcover,,ISBN981323590X(ISBN13:9789813235908),https://www.goodreads.com/book/show/50208975-introduction-to-the-analysis-of-algorithms-an-3rd-edition?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1575
Computer Science Companion - eBook,William T Verts,0.0,0,0,282,2014,1,Unknown Binding,,ISBN1465262709(ISBN13:9781465262707),https://www.goodreads.com/book/show/23134219-computer-science-companion---ebook?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1577
My Revision Notes Edexcel GCSE Computer Science,Steve Cushing,4.0,1,0,104,2015,4,Paperback,English,ISBN147184112X(ISBN13:9781471841125),https://www.goodreads.com/book/show/27188325-my-revision-notes-edexcel-gcse-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1578
Oswaal CBSE Question Bank Class 12 Computer Science C++ (Old Syllabus) Chapterwise & Topicwise (For March 2020 Exam),Oswaal Editorial Board,0.0,0,0,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/52589162-oswaal-cbse-question-bank-class-12-computer-science-c-old-syllabus-c?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1579
"Advances In Artificial Intelligence   Sbia 2004: 17th Brazilian Symposium On Artificial Intelligence, Sao Luis, Maranhao, Brazil, September 29 October ... (Lecture Notes In Computer Science)",Ana L.C. Bazzan,5.0,1,0,554,2004,2,Paperback,English,ISBN3540232370(ISBN13:9783540232377),https://www.goodreads.com/book/show/1679573.Advances_In_Artificial_Intelligence_Sbia_2004?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1582
Computer Science and Law,Brian Niblett,0.0,0,0,256,1980,1,Hardcover,English,ISBN0521234514(ISBN13:9780521234511),https://www.goodreads.com/book/show/3663503-computer-science-and-law?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1583
Instructor's Manual With Selected Solutions For Discrete Structures: An Introduction To Mathematics For Computer Science,Fletcher R Norris,0.0,0,0,,,1,,,ISBN0132152789(ISBN13:9780132152785),https://www.goodreads.com/book/show/5481166-instructor-s-manual-with-selected-solutions-for-discrete-structures?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1584
Logic: A Foundation for Computer Science,"['V. Sperschneider', 'G. Antoniou']",4.0,1,0,495,1991,1,Paperback,English,ISBN0201565145(ISBN13:9780201565140),https://www.goodreads.com/book/show/3893905-logic?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1585
"Advances in Cryptology - ASIACRYPT 2000: 6th International Conference on the Theory and Application of Cryptology and Information Security, Kyoto, Japan, ... (Lecture Notes in Computer Science)",Tatsuaki Okamoto,0.0,0,0,636,2000,1,Kindle Edition,English,,https://www.goodreads.com/book/show/6236759-advances-in-cryptology---asiacrypt-2000?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1586
Simulation-Based Optimization: Parametric Optimization Techniques and Reinforcement Learning (Operations Research/Computer Science Interfaces Series),Abhijit Gosavi,4.5,2,0,535,1997,6,Kindle Edition,,ISBN1402074549(ISBN13:9781402074547),https://www.goodreads.com/book/show/34390106-simulation-based-optimization?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1587
Computer Science and Communications Dictionary,Martin H. Weik,0.0,0,0,1066,2000,3,Hardcover,English,ISBN0792384253(ISBN13:9780792384250),https://www.goodreads.com/book/show/10478462-computer-science-and-communications-dictionary?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1590
Recent Advances in Computer Science and Information Engineering: Volume 4,"['Zhihong Qian', 'Lei Cao', 'Weilian Su']",4.0,1,0,838,2012,2,Hardcover,English,ISBN3642257682(ISBN13:9783642257681),https://www.goodreads.com/book/show/14642921-recent-advances-in-computer-science-and-information-engineering?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1592
Advanced Computer Science and Information Technology,Tai-Hoon Kim,4.0,1,0,,2011,2,ebook,,ISBN3642242677(ISBN13:9783642242670),https://www.goodreads.com/book/show/18992793-advanced-computer-science-and-information-technology?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1593
Vehicular Networks: From Theory to Practice (Chapman & Hall/CRC Computer & Information Science Series),"['Stephan Olariu', 'Michele C. Weigle']",0.0,0,0,472,2009,2,Kindle Edition,English,,https://www.goodreads.com/book/show/19825354-vehicular-networks?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1594
Gace Computer Science Secrets Study Guide: Gace Test Review for the Georgia Assessments for the Certification of Educators,Gace Exam Secrets Test Prep,0.0,0,0,188,,1,Paperback,,ISBN1516703073(ISBN13:9781516703074),https://www.goodreads.com/book/show/31494937-gace-computer-science-secrets-study-guide?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1595
Oswaal CBSE Chapterwise/Topicwise Question Bank for Class 11 Computer Science C++ (Mar.2018 Exams),Panel of Experts,0.0,0,1,160,,1,Paperback,,ISBN9386339749(ISBN13:9789386339744),https://www.goodreads.com/book/show/35898794-oswaal-cbse-chapterwise-topicwise-question-bank-for-class-11-computer-sc?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1596
"Design, User Experience, and Usability: Design Thinking and Methods: 5th International Conference, DUXU 2016, Held as Part of HCI International 2016, Toronto, ... Part I (Lecture Notes in Computer Science)",Aaron   Marcus,0.0,0,0,533,,2,Kindle Edition,,ISBN3319404083(ISBN13:9783319404080),https://www.goodreads.com/book/show/35609711-design-user-experience-and-usability?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1598
Wiley Acing the Gate: Computer Science and Information Technology,"['ANIL KUMAR VERMA', 'Gaurav    Sharma', 'Kuldeep Singh']",0.0,0,0,,,1,Paperback,,ISBN8126565764(ISBN13:9788126565764),https://www.goodreads.com/book/show/38200054-wiley-acing-the-gate?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1599
Learn Boolean Algebra for Computer Science in a day,Somnath PaulChoudhury,3.0,1,0,58,2013,1,Kindle Edition,English,,https://www.goodreads.com/book/show/20810422-learn-boolean-algebra-for-computer-science-in-a-day?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1600
Olympiad Excellence Guide for Computer Science (Class 6),Joby Jose,3.0,1,0,,,2,Paperback,,ISBN8192014452,https://www.goodreads.com/book/show/28191932-olympiad-excellence-guide-for-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1601
"Genetic Programming: 18th European Conference, EuroGP 2015, Copenhagen, Denmark, April 8-10, 2015, Proceedings (Lecture Notes in Computer Science)","['Penousal Machado', 'Malcolm I. Heywood', 'Jim McDermott', 'Mauro Castelli', 'Pablo Garcia-Sanchez', 'Paolo Burelli', 'Sebastian Risi', 'Kevin Sim']",0.0,0,0,231,2015,2,Kindle Edition,English,,https://www.goodreads.com/book/show/29083191-genetic-programming?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1602
Mathematics (for Computer Science & Engineering Students) : Paper–1: Calculus and Linear Algebra Paper–2: Probability and Statistics,ITL Education Solutions Limited,0.0,0,0,,,1,Kindle Edition,,,https://www.goodreads.com/book/show/50095301-mathematics-for-computer-science-engineering-students?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1604
GATE Practice Booklet 1116 Expected Questions with solutions for Computer Science & Information Technology Volume 1,Subject Experts of the ACE Engineering Academy,0.0,0,0,295,,1,Paperback,,ISBN1946581909(ISBN13:9781946581907),https://www.goodreads.com/book/show/42298831-gate-practice-booklet-1116-expected-questions-with-solutions-for-compute?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1605
"Bundle: C++ Programming: From Problem Analysis to Program Design, Loose-leaf Version, 8th + MindTap Computer Science, 1 term (6 months) Printed Access Card",D.S. Malik,0.0,0,0,,,2,CD-ROM,,ISBN1337757926(ISBN13:9781337757928),https://www.goodreads.com/book/show/39720150-bundle?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1606
"Undergraduate Programs in the Mathematical and Computer Sciences: The 1985-1986 Survey (Maa Notes,  No 7)","['Donald J. Albers', 'R.D. Anderson', 'Don O. Loftsgaarden']",0.0,0,0,220,1987,1,Paperback,,ISBN0883850575(ISBN13:9780883850572),https://www.goodreads.com/book/show/115125.Undergraduate_Programs_in_the_Mathematical_and_Computer_Sciences?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1608
Computer Sciences: MacMillan Science Library,Roger R. Flynn,3.0,1,0,800,2002,1,Hardcover,English,ISBN0028655664(ISBN13:9780028655666),https://www.goodreads.com/book/show/3273344-computer-sciences?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1610
Pascal: The Software Fundamentals Of Computer Science,Richard A. Meyers,0.0,0,0,1507,1992,1,Unknown Binding,English,ISBN013725623X(ISBN13:9780137256235),https://www.goodreads.com/book/show/4742152-pascal?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1611
Transactions On Data Hiding And Multimedia Security I (Lecture Notes In Computer Science),Yun Q. Shi,0.0,0,0,137,2006,2,Paperback,English,ISBN354049071X(ISBN13:9783540490715),https://www.goodreads.com/book/show/4891104-transactions-on-data-hiding-and-multimedia-security-i?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1612
Reverse Engineering of Object Oriented Code (Monographs in Computer Science),"['Paolo Tonella', 'Alessandra Potrich']",3.5,4,0,208,2004,4,Kindle Edition,English,ISBN0387402950(ISBN13:9780387402956),https://www.goodreads.com/book/show/8194966-reverse-engineering-of-object-oriented-code?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1614
Computer Science Resumes and Job-Finding Guide,Phil Bartlett,0.0,0,0,,2005,1,Paperback,English,ISBN0764129074(ISBN13:9780764129070),https://www.goodreads.com/book/show/1785655.Computer_Science_Resumes_and_Job_Finding_Guide?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1615
Year 12 Computer Science: Exam Questions with 1986,Neil Duncan,0.0,0,0,,1987,1,,,ISBN094916853x,https://www.goodreads.com/book/show/10435091-year-12-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1617
"Agents For Games And Simulations: Trends In Techniques, Concepts And Design (Lecture Notes In Computer Science / Lecture Notes In Artificial Intelligence)","['Frank Dignum', 'Barry G. Silverman', 'Jeff Bradshaw', 'Willem van Doesburg']",4.0,2,0,236,2009,2,Paperback,English,ISBN3642111971(ISBN13:9783642111976),https://www.goodreads.com/book/show/7443048-agents-for-games-and-simulations?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1618
Introduction to Computer Science with Applications in PASCAL,Stephen Garland,5.0,1,0,742,1986,1,Hardcover,English,ISBN020104398X(ISBN13:9780201043983),https://www.goodreads.com/book/show/15250209-introduction-to-computer-science-with-applications-in-pascal?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1619
Advances in Computer Science and Information Engineering: Volume 2,"['David Jin', 'Sally Lin']",0.0,0,0,715,2012,2,Paperback,English,ISBN364230222X(ISBN13:9783642302220),https://www.goodreads.com/book/show/14644224-advances-in-computer-science-and-information-engineering?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1620
"Public Key Cryptography: 4th International Workshop on Practice and Theory in Public Key Cryptosystems, PKC 2001, Cheju Island, Korea, February 13-15, ... (Lecture Notes in Computer Science)",Kwangjo Kim,0.0,0,0,434,2001,2,Kindle Edition,English,,https://www.goodreads.com/book/show/19959011-public-key-cryptography?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1621
"My Mind Is Like My Internet Browser: Computer Science Quote Music Dot Grid Journal, Diary, Notebook 6 x 9 inches with 120 Pages",Computer Publishing,0.0,0,0,122,,1,Paperback,,ISBN1083021362(ISBN13:9781083021366),https://www.goodreads.com/book/show/52436546-my-mind-is-like-my-internet-browser?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1622
CBSE Chapterwise Solved Papers 2016-2008 COMPUTER SCIENCE Class 12th,"['Amit Joshi', 'Mini Goyal']",5.0,1,0,448,,1,Paperback,,ISBN9350949040(ISBN13:9789350949047),https://www.goodreads.com/book/show/32324697-cbse-chapterwise-solved-papers-2016-2008-computer-science-class-12th?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1623
Out of the Lab and on the Market: How Sony Computer Science Labs (Sonycsl) Turn Research Into Profits,"['Tetsu Natsume', 'Mario Tokoro']",0.0,0,0,152,,4,Hardcover,,ISBN1138735906(ISBN13:9781138735903),https://www.goodreads.com/book/show/34499088-out-of-the-lab-and-on-the-market?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1624
OCR GCSE Computer Science My Revision Notes 2e,George Rouse,0.0,0,0,112,,4,Paperback,,ISBN1471886654(ISBN13:9781471886652),https://www.goodreads.com/book/show/34749067-ocr-gcse-computer-science-my-revision-notes-2e?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1625
"Virtual, Augmented and Mixed Reality: 8th International Conference, VAMR 2016, Held as Part of HCI International 2016, Toronto, Canada, July 17-22, 2016. ... (Lecture Notes in Computer Science)","['Stephanie Lackey', 'Randall Shumaker']",3.0,1,0,749,,1,Kindle Edition,English,,https://www.goodreads.com/book/show/31424776-virtual-augmented-and-mixed-reality?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1626
Fundamentals of JavaTM: AP* Computer Science Essentials,"['Kenneth A. Lambert', 'Martin Osborne']",2.0,1,0,720,2010,1,Kindle Edition,English,,https://www.goodreads.com/book/show/25408765-fundamentals-of-javatm?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1629
Cbse All in One Computer Science Class 11th,"['Harshit Garg', 'Swati Rana']",5.0,1,0,360,,1,Paperback,,ISBN9352036468(ISBN13:9789352036462),https://www.goodreads.com/book/show/29218525-cbse-all-in-one-computer-science-class-11th?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1630
Computer Science and Applications,David Zhong,0.0,0,0,550,,1,Hardcover,,ISBN1138027987(ISBN13:9781138027985),https://www.goodreads.com/book/show/28962076-computer-science-and-applications?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1631
"Computer Science Theory and Applications: 11th International Computer Science Symposium in Russia, Csr 2016, St. Petersburg, Russia, June 9-13, 2016, Proceedings","['Alexander S Kulikov', 'Gerhard J Woeginger']",0.0,0,0,425,,1,Paperback,,ISBN3319341707(ISBN13:9783319341705),https://www.goodreads.com/book/show/29888233-computer-science-theory-and-applications?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1632
Indian Computer Science (CS) & Information Technology (IT) Academic Reform (Past) Activism Blog Book,Ravi S. Iyer,5.0,1,0,191,,1,ebook,English,,https://www.goodreads.com/book/show/52052566-indian-computer-science-cs-information-technology-it-academic-refo?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1633
CBSE Computer Science Chapterwise Solved Papers Class 12 2019-2009,Arihant Experts,4.5,2,0,488,,1,paperback,,ISBN931319659X(ISBN13:9789313196594),https://www.goodreads.com/book/show/52659397-cbse-computer-science-chapterwise-solved-papers-class-12-2019-2009?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1635
IB Computer Science Study and Revision Guide | Standard Level: For the International Baccalaureate Diploma 2019,IB Simplify,0.0,0,0,,,2,Kindle Edition,,,https://www.goodreads.com/book/show/48892960-ib-computer-science-study-and-revision-guide-standard-level?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1636
Theoretical Computer Science,Peter Deussen,4.0,1,0,260,,1,Hardcover,English,ISBN038710576X(ISBN13:9780387105765),https://www.goodreads.com/book/show/31365129-theoretical-computer-science?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1541
"Advances in Computer Science - ASIAN 2006: Secure Software and Related Issues: 11th Asian Computing Science Conference, Tokyo, Japan, December 6-8, 2006, Revised Selected Papers","['Mitsu Okada', 'Mitsu Okada']",0.0,0,0,360,2008,1,Paperback,English,ISBN3540775048(ISBN13:9783540775041),https://www.goodreads.com/book/show/4004778-advances-in-computer-science---asian-2006?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1640
Efficient Algorithms: Essays Dedicated To Kurt Mehlhorn On The Occasion Of His 60th Birthday (Lecture Notes In Computer Science / Theoretical Computer Science And General Issues),"['Susanne Albers', 'Helmut Alt', 'Stefan Näher']",0.0,0,0,439,2009,1,Paperback,English,ISBN3642034551(ISBN13:9783642034558),https://www.goodreads.com/book/show/7100042-efficient-algorithms?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1642
"Automating Open Source Intelligence: Algorithms for OSINT (Computer Science Reviews and Trends) by Robert Layton, Syngress",Robert Layton,5.0,1,0,,,1,ebook,English,,https://www.goodreads.com/book/show/55613382-automating-open-source-intelligence?from_search=true&from_srp=true&qid=iHFbTUVsHL&rank=1644
